A,-75,-86,-75,-84,-88,-79
A,-75,-85,-74,-84,-87,-79
A,-76,-85,-74,-84,-74,-79
A,-76,-85,-74,-85,-74,-79
A,-76,-85,-74,-85,-74,-79
A,-76,-85,-74,-84,-74,-79
A,-76,-85,-74,-74,-74,-93
A,-76,-86,-74,-74,-86,-93
A,-76,-85,-74,-73,-86,-79
A,-76,-85,-74,-74,-88,-79
A,-72,-85,-74,-74,-88,-92
A,-70,-85,-74,-74,-90,-87
A,-70,-85,-74,-74,-88,-79
A,-70,-84,-74,-74,-89,-79
A,-72,-81,-74,-74,-89,-79
A,-72,-73,-74,-74,-93,-79
A,-70,-77,-74,-85,-87,-79
A,-70,-81,-74,-87,-74,-79
A,-70,-81,-74,-88,-74,-79
A,-70,-81,-74,-87,-74,-79
B,-72,-64,-71,-73,-76,-72
B,-72,-65,-71,-73,-78,-72
B,-72,-67,-71,-73,-77,-74
B,-72,-67,-71,-73,-78,-74
B,-72,-67,-71,-82,-78,-74
B,-72,-67,-71,-82,-77,-74
B,-72,-67,-71,-83,-78,-74
B,-72,-67,-71,-82,-78,-74
B,-72,-67,-71,-82,-78,-74
B,-72,-67,-70,-82,-78,-74
B,-72,-68,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-73,-71,-73,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-74,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
B,-72,-73,-71,-74,-78,-74
C,-77,-70,-73,-68,-86,-77
C,-76,-70,-73,-68,-92,-77
C,-76,-70,-73,-68,-86,-86
C,-77,-70,-73,-68,-86,-86
C,-76,-70,-73,-68,-85,-86
C,-76,-70,-73,-68,-86,-86
C,-76,-70,-73,-68,-86,-86
C,-76,-70,-73,-68,-86,-86
C,-79,-70,-73,-68,-86,-86
C,-79,-70,-73,-68,-86,-84
C,-79,-70,-73,-69,-86,-84
C,-79,-70,-73,-69,-90,-84
C,-87,-70,-74,-69,-85,-84
C,-87,-70,-73,-69,-87,-93
C,-87,-70,-73,-69,-88,-93
C,-87,-70,-73,-69,-87,-93
C,-88,-70,-73,-69,-88,-77
C,-88,-70,-73,-69,-87,-77
C,-84,-70,-74,-69,-88,-77
C,-68,-70,-73,-71,-88,-77
D,-68,-77,-68,-73,-77,-90
D,-68,-77,-68,-74,-78,-90
D,-68,-78,-68,-74,-79,-90
D,-68,-77,-68,-74,-78,-89
D,-68,-78,-68,-74,-79,-84
D,-72,-77,-68,-76,-79,-86
D,-72,-78,-68,-76,-82,-85
D,-72,-78,-67,-77,-81,-85
D,-72,-78,-68,-77,-81,-85
D,-72,-77,-68,-77,-82,-85
D,-72,-77,-68,-76,-80,-85
D,-72,-77,-68,-75,-80,-85
D,-72,-77,-67,-74,-81,-85
D,-72,-77,-68,-76,-80,-85
D,-72,-77,-68,-76,-80,-86
D,-72,-77,-68,-76,-80,-85
D,-72,-77,-68,-76,-80,-85
D,-68,-77,-68,-76,-80,-86
D,-68,-77,-68,-76,-81,-91
D,-68,-78,-68,-76,-80,-91
E,-74,-82,-79,-81,-79,-76
E,-74,-74,-79,-81,-79,-76
E,-74,-74,-79,-80,-79,-76
E,-74,-74,-79,-81,-79,-76
E,-82,-74,-75,-77,-79,-79
E,-82,-74,-70,-74,-78,-76
E,-82,-74,-70,-74,-78,-76
E,-83,-74,-70,-73,-76,-76
E,-82,-84,-70,-79,-76,-76
E,-82,-84,-70,-73,-76,-76
E,-82,-84,-70,-73,-75,-76
E,-82,-89,-70,-73,-75,-76
E,-82,-89,-70,-73,-75,-76
E,-82,-89,-70,-73,-75,-76
E,-82,-82,-70,-73,-75,-84
E,-83,-75,-70,-76,-76,-76
E,-72,-74,-70,-75,-76,-76
E,-86,-75,-70,-75,-75,-76
E,-74,-75,-70,-74,-77,-76
E,-77,-74,-70,-73,-77,-76
F,-71,-74,-75,-76,-88,-68
F,-71,-74,-75,-76,-89,-68
F,-71,-74,-75,-82,-88,-68
F,-71,-74,-81,-81,-88,-68
F,-70,-74,-81,-77,-88,-69
F,-71,-74,-81,-77,-87,-70
F,-71,-74,-81,-77,-82,-70
F,-71,-74,-81,-77,-82,-70
F,-71,-75,-82,-77,-82,-70
F,-74,-73,-80,-77,-83,-70
F,-77,-68,-80,-77,-82,-70
F,-76,-68,-81,-78,-82,-70
F,-76,-71,-83,-77,-82,-69
F,-76,-72,-84,-77,-82,-69
F,-76,-72,-91,-77,-82,-69
F,-76,-71,-91,-77,-82,-69
F,-74,-72,-77,-77,-83,-70
F,-72,-73,-75,-77,-84,-70
F,-72,-73,-75,-77,-83,-69
F,-72,-73,-75,-77,-83,-69
G,-79,-77,-85,-78,-74,-78
G,-79,-76,-76,-78,-74,-78
G,-78,-76,-72,-77,-74,-79
G,-78,-76,-72,-84,-74,-79
G,-78,-76,-72,-86,-75,-79
G,-79,-76,-72,-86,-74,-78
G,-79,-76,-72,-86,-85,-78
G,-79,-76,-72,-86,-87,-79
G,-79,-76,-72,-77,-86,-78
G,-70,-76,-72,-76,-86,-78
G,-69,-76,-71,-76,-86,-78
G,-69,-76,-70,-76,-86,-78
G,-69,-77,-85,-76,-86,-73
G,-69,-77,-85,-76,-86,-73
G,-69,-77,-85,-76,-86,-73
G,-69,-77,-85,-76,-86,-73
G,-77,-77,-85,-76,-86,-73
G,-78,-77,-85,-78,-86,-73
G,-83,-79,-85,-78,-86,-81
G,-83,-92,-85,-78,-86,-81
H,-74,-70,-70,-80,-78,-87
H,-79,-70,-74,-80,-78,-87
H,-69,-70,-74,-80,-77,-79
H,-69,-70,-74,-80,-78,-79
H,-69,-70,-74,-81,-78,-82
H,-69,-70,-74,-81,-78,-76
H,-69,-70,-74,-80,-77,-76
H,-69,-70,-74,-81,-77,-76
H,-69,-70,-74,-80,-77,-76
H,-69,-70,-77,-81,-77,-76
H,-72,-70,-79,-81,-78,-76
H,-72,-70,-79,-81,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-76
H,-72,-70,-79,-80,-78,-79
H,-72,-70,-77,-80,-78,-83
I,-74,-74,-76,-68,-73,-72
I,-74,-74,-76,-68,-73,-72
I,-74,-74,-76,-68,-73,-72
I,-74,-74,-76,-68,-73,-72
I,-75,-74,-76,-68,-73,-72
I,-75,-74,-75,-68,-73,-72
I,-75,-74,-75,-68,-74,-72
I,-75,-74,-75,-68,-73,-72
I,-75,-74,-75,-68,-74,-72
I,-75,-74,-75,-68,-74,-69
I,-75,-74,-74,-68,-74,-69
I,-75,-84,-74,-68,-74,-69
I,-75,-79,-74,-68,-73,-69
I,-75,-79,-74,-68,-73,-69
I,-75,-79,-78,-68,-73,-69
I,-75,-79,-78,-67,-73,-69
I,-90,-79,-78,-67,-74,-69
I,-90,-79,-78,-66,-74,-69
I,-89,-79,-78,-66,-74,-69
I,-74,-79,-83,-66,-74,-69
J,-74,-72,-81,-89,-76,-81
J,-74,-71,-72,-90,-76,-89
J,-74,-72,-70,-90,-76,-90
J,-74,-72,-74,-89,-77,-84
J,-81,-71,-90,-90,-77,-78
J,-82,-72,-70,-74,-77,-77
J,-82,-74,-70,-70,-77,-80
J,-82,-75,-70,-70,-76,-80
J,-82,-74,-70,-70,-77,-80
J,-82,-74,-70,-70,-76,-80
J,-82,-74,-72,-70,-76,-80
J,-82,-74,-72,-70,-73,-80
J,-82,-74,-72,-70,-73,-80
J,-82,-75,-72,-69,-73,-81
J,-86,-74,-72,-69,-73,-81
J,-88,-74,-72,-69,-74,-81
J,-86,-73,-72,-69,-74,-81
J,-86,-77,-72,-69,-74,-81
J,-74,-78,-72,-70,-73,-81
J,-74,-77,-72,-70,-73,-80
K,-72,-75,-84,-79,-82,-75
K,-72,-79,-84,-79,-81,-76
K,-72,-79,-84,-79,-83,-76
K,-72,-79,-84,-79,-83,-76
K,-72,-79,-84,-79,-82,-77
K,-72,-79,-84,-79,-82,-90
K,-72,-79,-84,-79,-83,-84
K,-72,-79,-84,-79,-78,-82
K,-72,-80,-84,-79,-74,-76
K,-72,-79,-84,-72,-91,-90
K,-72,-80,-82,-72,-83,-85
K,-72,-80,-76,-72,-74,-76
K,-72,-80,-75,-72,-74,-76
K,-72,-81,-75,-70,-74,-76
K,-72,-80,-75,-70,-75,-76
K,-72,-80,-75,-75,-82,-76
K,-72,-81,-76,-79,-83,-77
K,-72,-80,-76,-79,-83,-89
K,-72,-80,-76,-79,-83,-89
K,-72,-81,-76,-79,-83,-89
L,-79,-74,-79,-65,-73,-81
L,-80,-74,-87,-64,-73,-81
L,-80,-74,-87,-65,-72,-81
L,-80,-74,-87,-64,-72,-81
L,-80,-74,-88,-64,-72,-81
L,-79,-80,-87,-64,-73,-81
L,-79,-85,-87,-64,-73,-70
L,-79,-74,-87,-64,-73,-70
L,-79,-74,-87,-64,-74,-70
L,-80,-74,-87,-64,-74,-70
L,-79,-74,-87,-64,-74,-70
L,-79,-74,-78,-64,-79,-73
L,-80,-74,-78,-64,-81,-75
L,-79,-76,-84,-64,-81,-80
L,-80,-78,-84,-64,-82,-84
L,-79,-79,-83,-65,-82,-69
L,-79,-76,-83,-64,-82,-70
L,-79,-74,-83,-64,-82,-70
L,-79,-74,-82,-65,-81,-69
L,-79,-74,-83,-64,-82,-70
